rank,song,artist,last-week,peak-rank,weeks-on-board,date
13,I Just Wanna Love U (Give It 2 Me),JAY-Z,14,13,9,2000-12-23
14,Most Girls,P!nk,11,4,20,2000-12-23
15,I Wish,R. Kelly,17,15,13,2000-12-23
16,E.I.,Nelly,16,16,12,2000-12-23
17,Shape Of My Heart,Backstreet Boys,12,9,11,2000-12-23
18,Between Me And You,Ja Rule Featuring Christina Milian,18,11,15,2000-12-23
19,Again,Lenny Kravitz,24,19,6,2000-12-23
20,Pinch Me,Barenaked Ladies,19,15,16,2000-12-23
21,Liquid Dreams,O-Town,,21,1,2000-12-23
22,Love Don't Cost A Thing,Jennifer Lopez,28,22,3,2000-12-23
23,Crazy For This Girl,Evan And Jaron,23,23,8,2000-12-23
24,What's Your Fantasy,Ludacris Featuring Shawnna,21,21,13,2000-12-23
25,Music,Madonna,20,1,20,2000-12-23
26,My First Love,Avant Featuring KeKe Wyatt,26,26,8,2000-12-23
27,My Next Thirty Years,Tim McGraw,27,27,10,2000-12-23
28,Beautiful Day,U2,32,28,12,2000-12-23
29,She Bangs,Ricky Martin,22,12,12,2000-12-23
30,Don't Think I'm Not,Kandi,25,24,21,2000-12-23
31,Without You,Dixie Chicks,35,31,12,2000-12-23
32,Just Friends (Sunny),Musiq,34,32,11,2000-12-23
33,Bent,matchbox twenty,30,1,35,2000-12-23
34,I Lost It,Kenny Chesney,40,34,10,2000-12-23
35,Don't Tell Me,Madonna,54,35,3,2000-12-23
36,We Danced,Brad Paisley,29,29,11,2000-12-23
37,Best Of Intentions,Travis Tritt,31,27,19,2000-12-23
38,No More,Ruff Endz,33,5,26,2000-12-23
39,Born To Fly,Sara Evans,36,36,10,2000-12-23
40,Hemorrhage (In My Hands),Fuel,48,40,9,2000-12-23
41,You're A God,Vertical Horizon,37,23,18,2000-12-23
42,Crazy,K-Ci & JoJo,60,42,3,2000-12-23
43,Bow Wow (That's My Name),Lil Bow Wow,64,43,5,2000-12-23
44,Come On Over Baby (All I Want Is You),Christina Aguilera,43,1,21,2000-12-23
45,www.memory,Alan Jackson,47,45,8,2000-12-23
46,Just Another Day In Paradise,Phil Vassar,41,35,13,2000-12-23
47,So In Love With Two,Mikaila,53,47,5,2000-12-23
48,No More (Baby I'ma Do Right),3LW,52,48,8,2000-12-23
49,911,Wyclef Jean Featuring Mary J. Blige,44,38,12,2000-12-23
50,My Everything,98 Degrees,59,50,3,2000-12-23
51,Tell Her,Lonestar,56,51,6,2000-12-23
52,The Itch,Vitamin C,45,45,4,2000-12-23
53,Stronger,Britney Spears,55,53,4,2000-12-23
54,Emotional,Carl Thomas,58,54,5,2000-12-23
55,Danger (Been So Long),Mystikal Featuring Nivea,77,55,2,2000-12-23
56,Bag Lady,Erykah Badu,38,6,19,2000-12-23
57,Stan,Eminem Featuring Dido,51,51,8,2000-12-23
58,Shake Ya Ass,Mystikal,42,13,20,2000-12-23
59,Mamacita,Public Announcement,,59,1,2000-12-23
60,Burn,Jo Dee Messina,63,60,4,2000-12-23
61,Loser,3 Doors Down,62,55,10,2000-12-23
62,Ashes By Now,Lee Ann Womack,66,62,3,2000-12-23
63,The Little Girl,John Michael Montgomery,57,35,16,2000-12-23
64,One Woman Man,Dave Hollister,73,64,3,2000-12-23
65,Project Chick,Cash Money Millionaires,74,65,2,2000-12-23
66,Babylon,David Gray,72,66,4,2000-12-23
67,Rollin',Limp Bizkit,65,65,7,2000-12-23
68,It's Over Now,112,71,68,3,2000-12-23
69,Liar,Profyle,61,14,15,2000-12-23
70,You Should've Told Me,Kelly Price,68,64,14,2000-12-23
71,Open My Heart,Yolanda Adams,67,57,18,2000-12-23
72,There Is No Arizona,Jamie O'Neal,,72,1,2000-12-23
73,Promise,Jagged Edge,,73,1,2000-12-23
74,Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott,96,74,2,2000-12-23
75,Girls Dem Sugar,Beenie Man Featuring Mya,69,54,10,2000-12-23
76,This Everyday Love,Rascal Flatts,,76,1,2000-12-23
77,Original Prankster,The Offspring,70,70,5,2000-12-23
78,South Side,Moby Featuring Gwen Stefani,82,78,4,2000-12-23
79,Wild Horses,Garth Brooks,,79,1,2000-12-23
80,Meanwhile Back At The Ranch,The Clark Family Experience,80,80,6,2000-12-23
81,But For The Grace Of God,Keith Urban,,81,1,2000-12-23
82,A Little Gasoline,Terri Clark,75,75,2,2000-12-23
83,My Love Goes On And On,Chris Cagle,79,76,10,2000-12-23
84,Oklahoma,Billy Gilman,89,84,7,2000-12-23
85,Can't Fight The Moonlight,LeAnn Rimes,88,71,16,2000-12-23
86,How Many Licks?,Lil' Kim Featuring Sisqo,86,75,5,2000-12-23
87,It's My Life,Bon Jovi,85,33,20,2000-12-23
88,Go On,George Strait,78,40,18,2000-12-23
89,My Baby You,Marc Anthony,83,70,15,2000-12-23
90,Could It Be,Jaheim,99,90,2,2000-12-23
91,Feels Like Love,Vince Gill,76,52,17,2000-12-23
92,Kiss This,Aaron Tippin,87,42,18,2000-12-23
93,Give Me Just One Night (Una Noche),98 Degrees,84,2,19,2000-12-23
94,If I Am,Nine Days,81,68,4,2000-12-23
95,Put It On Me,Ja Rule Featuring Lil' Mo & Vita,,95,1,2000-12-23
96,All Good?,De La Soul Featuring Chaka Khan,,96,1,2000-12-23
97,Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg,,97,1,2000-12-23
98,Straight Up,Chante Moore,97,83,9,2000-12-23
99,Bounce With Me,Lil Bow Wow Featuring Xscape,90,20,19,2000-12-23
100,Do You,Funkmaster Flex Featuring DMX,94,91,7,2000-12-23
1,Independent Women Part I,Destiny's Child,1,1,13,2000-12-16
2,Case Of The Ex (Whatcha Gonna Do),Mya,2,2,18,2000-12-16
3,With Arms Wide Open,Creed,3,1,32,2000-12-16
4,It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent",7,4,7,2000-12-16
5,Kryptonite,3 Doors Down,5,3,37,2000-12-16
6,Gotta Tell You,Samantha Mumba,4,4,15,2000-12-16
7,This I Promise You,'N Sync,6,5,12,2000-12-16
8,He Loves U Not,Dream,11,8,12,2000-12-16
9,Ms. Jackson,OutKast,12,9,6,2000-12-16
10,The Way You Love Me,Faith Hill,9,8,33,2000-12-16
11,Most Girls,P!nk,8,4,19,2000-12-16
12,Shape Of My Heart,Backstreet Boys,10,9,10,2000-12-16
13,If You're Gone,matchbox twenty,15,13,9,2000-12-16
14,I Just Wanna Love U (Give It 2 Me),JAY-Z,14,14,8,2000-12-16
15,Dance With Me,Debelah Morgan,13,13,21,2000-12-16
16,E.I.,Nelly,18,16,11,2000-12-16
17,I Wish,R. Kelly,21,17,12,2000-12-16
18,Between Me And You,Ja Rule Featuring Christina Milian,17,11,14,2000-12-16
19,Pinch Me,Barenaked Ladies,19,15,15,2000-12-16
20,Music,Madonna,16,1,19,2000-12-16
21,What's Your Fantasy,Ludacris Featuring Shawnna,22,21,12,2000-12-16
22,She Bangs,Ricky Martin,20,12,11,2000-12-16
23,Crazy For This Girl,Evan And Jaron,28,23,7,2000-12-16
24,Again,Lenny Kravitz,39,24,5,2000-12-16
25,Don't Think I'm Not,Kandi,25,24,20,2000-12-16
26,My First Love,Avant Featuring KeKe Wyatt,33,26,7,2000-12-16
27,My Next Thirty Years,Tim McGraw,31,27,9,2000-12-16
28,Love Don't Cost A Thing,Jennifer Lopez,46,28,2,2000-12-16
29,We Danced,Brad Paisley,34,29,10,2000-12-16
30,Bent,matchbox twenty,27,1,34,2000-12-16
31,Best Of Intentions,Travis Tritt,29,27,18,2000-12-16
32,Beautiful Day,U2,42,32,11,2000-12-16
33,No More,Ruff Endz,24,5,25,2000-12-16
34,Just Friends (Sunny),Musiq,41,34,10,2000-12-16
35,Without You,Dixie Chicks,40,35,11,2000-12-16
36,Born To Fly,Sara Evans,44,36,9,2000-12-16
37,You're A God,Vertical Horizon,37,23,17,2000-12-16
38,Bag Lady,Erykah Badu,26,6,18,2000-12-16
39,"Jumpin', Jumpin'",Destiny's Child,35,3,32,2000-12-16
40,I Lost It,Kenny Chesney,47,40,9,2000-12-16
41,Just Another Day In Paradise,Phil Vassar,43,35,12,2000-12-16
42,Shake Ya Ass,Mystikal,30,13,19,2000-12-16
43,Come On Over Baby (All I Want Is You),Christina Aguilera,23,1,20,2000-12-16
44,911,Wyclef Jean Featuring Mary J. Blige,38,38,11,2000-12-16
45,The Itch,Vitamin C,48,45,3,2000-12-16
46,Incomplete,Sisqo,32,1,26,2000-12-16
47,www.memory,Alan Jackson,49,47,7,2000-12-16
48,Hemorrhage (In My Hands),Fuel,52,48,8,2000-12-16
49,(Hot S**t) Country Grammar,Nelly,36,7,34,2000-12-16
50,Faded,SoulDecision Featuring Thrust,45,22,24,2000-12-16
51,Stan,Eminem Featuring Dido,51,51,7,2000-12-16
52,No More (Baby I'ma Do Right),3LW,58,52,7,2000-12-16
53,So In Love With Two,Mikaila,53,53,4,2000-12-16
54,Don't Tell Me,Madonna,78,54,2,2000-12-16
55,Stronger,Britney Spears,55,55,3,2000-12-16
56,Tell Her,Lonestar,56,56,5,2000-12-16
57,The Little Girl,John Michael Montgomery,50,35,15,2000-12-16
58,Emotional,Carl Thomas,61,58,4,2000-12-16
59,My Everything,98 Degrees,62,59,2,2000-12-16
60,Crazy,K-Ci & JoJo,69,60,2,2000-12-16
61,Liar,Profyle,54,14,14,2000-12-16
62,Loser,3 Doors Down,59,55,9,2000-12-16
63,Burn,Jo Dee Messina,67,63,3,2000-12-16
64,Bow Wow (That's My Name),Lil Bow Wow,75,64,4,2000-12-16
65,Rollin',Limp Bizkit,65,65,6,2000-12-16
66,Ashes By Now,Lee Ann Womack,74,66,2,2000-12-16
67,Open My Heart,Yolanda Adams,63,57,17,2000-12-16
68,You Should've Told Me,Kelly Price,64,64,13,2000-12-16
69,Girls Dem Sugar,Beenie Man Featuring Mya,60,54,9,2000-12-16
70,Original Prankster,The Offspring,70,70,4,2000-12-16
71,It's Over Now,112,82,71,2,2000-12-16
72,Babylon,David Gray,73,72,3,2000-12-16
73,One Woman Man,Dave Hollister,86,73,2,2000-12-16
74,Project Chick,Cash Money Millionaires,,74,1,2000-12-16
75,A Little Gasoline,Terri Clark,,75,1,2000-12-16
76,Feels Like Love,Vince Gill,57,52,16,2000-12-16
77,Danger (Been So Long),Mystikal Featuring Nivea,,77,1,2000-12-16
78,Go On,George Strait,71,40,17,2000-12-16
79,My Love Goes On And On,Chris Cagle,76,76,9,2000-12-16
80,Meanwhile Back At The Ranch,The Clark Family Experience,92,80,5,2000-12-16
81,If I Am,Nine Days,68,68,3,2000-12-16
82,South Side,Moby Featuring Gwen Stefani,93,82,3,2000-12-16
83,My Baby You,Marc Anthony,87,70,14,2000-12-16
84,Give Me Just One Night (Una Noche),98 Degrees,66,2,18,2000-12-16
85,It's My Life,Bon Jovi,84,33,19,2000-12-16
86,How Many Licks?,Lil' Kim Featuring Sisqo,77,75,4,2000-12-16
87,Kiss This,Aaron Tippin,94,42,17,2000-12-16
88,Can't Fight The Moonlight,LeAnn Rimes,81,71,15,2000-12-16
89,Oklahoma,Billy Gilman,88,88,6,2000-12-16
90,Bounce With Me,Lil Bow Wow Featuring Xscape,80,20,18,2000-12-16
91,That's The Kind Of Mood I'm In,Patty Loveless,85,71,14,2000-12-16
92,What Means The World To You,Cam'ron,95,83,10,2000-12-16
93,Pop Ya Collar,Usher,79,60,7,2000-12-16
94,Do You,Funkmaster Flex Featuring DMX,91,91,6,2000-12-16
95,You Won't Be Lonely Now,Billy Ray Cyrus,89,80,13,2000-12-16
96,Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott,,96,1,2000-12-16
97,Straight Up,Chante Moore,83,83,8,2000-12-16
98,Spanish Guitar,Toni Braxton,98,98,3,2000-12-16
99,Could It Be,Jaheim,,99,1,2000-12-16
100,Bad Boyz,Shyne Featuring Barrington Levy,96,57,15,2000-12-16
1,Independent Women Part I,Destiny's Child,1,1,12,2000-12-09
2,Case Of The Ex (Whatcha Gonna Do),Mya,2,2,17,2000-12-09
3,With Arms Wide Open,Creed,3,1,31,2000-12-09
4,Gotta Tell You,Samantha Mumba,7,4,14,2000-12-09
5,Kryptonite,3 Doors Down,4,3,36,2000-12-09
6,This I Promise You,'N Sync,5,5,11,2000-12-09
7,It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent",10,7,6,2000-12-09
8,Most Girls,P!nk,6,4,18,2000-12-09
9,The Way You Love Me,Faith Hill,8,8,32,2000-12-09
10,Shape Of My Heart,Backstreet Boys,9,9,9,2000-12-09
11,He Loves U Not,Dream,18,11,11,2000-12-09
12,Ms. Jackson,OutKast,21,12,5,2000-12-09
13,Dance With Me,Debelah Morgan,13,13,20,2000-12-09
14,I Just Wanna Love U (Give It 2 Me),JAY-Z,19,14,7,2000-12-09
15,If You're Gone,matchbox twenty,20,15,8,2000-12-09
16,Music,Madonna,11,1,18,2000-12-09
17,Between Me And You,Ja Rule Featuring Christina Milian,14,11,13,2000-12-09
18,E.I.,Nelly,16,16,10,2000-12-09
19,Pinch Me,Barenaked Ladies,15,15,14,2000-12-09
20,She Bangs,Ricky Martin,12,12,10,2000-12-09
21,I Wish,R. Kelly,17,17,11,2000-12-09
22,What's Your Fantasy,Ludacris Featuring Shawnna,25,22,11,2000-12-09
23,Come On Over Baby (All I Want Is You),Christina Aguilera,22,1,19,2000-12-09
24,No More,Ruff Endz,23,5,24,2000-12-09
25,Don't Think I'm Not,Kandi,26,24,19,2000-12-09
26,Bag Lady,Erykah Badu,29,6,17,2000-12-09
27,Bent,matchbox twenty,28,1,33,2000-12-09
28,Crazy For This Girl,Evan And Jaron,33,28,6,2000-12-09
29,Best Of Intentions,Travis Tritt,27,27,17,2000-12-09
30,Shake Ya Ass,Mystikal,24,13,18,2000-12-09
31,My Next Thirty Years,Tim McGraw,36,31,8,2000-12-09
32,Incomplete,Sisqo,31,1,25,2000-12-09
33,My First Love,Avant Featuring KeKe Wyatt,39,33,6,2000-12-09
34,We Danced,Brad Paisley,34,34,9,2000-12-09
35,"Jumpin', Jumpin'",Destiny's Child,30,3,31,2000-12-09
36,(Hot S**t) Country Grammar,Nelly,37,7,33,2000-12-09
37,You're A God,Vertical Horizon,32,23,16,2000-12-09
38,911,Wyclef Jean Featuring Mary J. Blige,42,38,10,2000-12-09
39,Again,Lenny Kravitz,48,39,4,2000-12-09
40,Without You,Dixie Chicks,41,40,10,2000-12-09
41,Just Friends (Sunny),Musiq,44,41,9,2000-12-09
42,Beautiful Day,U2,40,40,10,2000-12-09
43,Just Another Day In Paradise,Phil Vassar,35,35,11,2000-12-09
44,Born To Fly,Sara Evans,46,44,8,2000-12-09
45,Faded,SoulDecision Featuring Thrust,38,22,23,2000-12-09
46,Love Don't Cost A Thing,Jennifer Lopez,,46,1,2000-12-09
47,I Lost It,Kenny Chesney,47,47,8,2000-12-09
48,The Itch,Vitamin C,86,48,2,2000-12-09
49,www.memory,Alan Jackson,50,49,6,2000-12-09
50,The Little Girl,John Michael Montgomery,45,35,14,2000-12-09
51,Stan,Eminem Featuring Dido,51,51,6,2000-12-09
52,Hemorrhage (In My Hands),Fuel,53,52,7,2000-12-09
53,So In Love With Two,Mikaila,65,53,3,2000-12-09
54,Liar,Profyle,43,14,13,2000-12-09
55,Stronger,Britney Spears,70,55,2,2000-12-09
56,Tell Her,Lonestar,58,56,4,2000-12-09
57,Feels Like Love,Vince Gill,52,52,15,2000-12-09
58,No More (Baby I'ma Do Right),3LW,60,58,6,2000-12-09
59,Loser,3 Doors Down,55,55,8,2000-12-09
60,Girls Dem Sugar,Beenie Man Featuring Mya,54,54,8,2000-12-09
61,Emotional,Carl Thomas,63,61,3,2000-12-09
62,My Everything,98 Degrees,,62,1,2000-12-09
63,Open My Heart,Yolanda Adams,59,57,16,2000-12-09
64,You Should've Told Me,Kelly Price,64,64,12,2000-12-09
65,Rollin',Limp Bizkit,66,65,5,2000-12-09
66,Give Me Just One Night (Una Noche),98 Degrees,67,2,17,2000-12-09
67,Burn,Jo Dee Messina,77,67,2,2000-12-09
68,If I Am,Nine Days,68,68,2,2000-12-09
69,Crazy,K-Ci & JoJo,,69,1,2000-12-09
70,Original Prankster,The Offspring,71,70,3,2000-12-09
71,Go On,George Strait,56,40,16,2000-12-09
72,Last Resort,Papa Roach,57,57,20,2000-12-09
73,Babylon,David Gray,73,73,2,2000-12-09
74,Ashes By Now,Lee Ann Womack,,74,1,2000-12-09
75,Bow Wow (That's My Name),Lil Bow Wow,82,75,3,2000-12-09
76,My Love Goes On And On,Chris Cagle,76,76,8,2000-12-09
77,How Many Licks?,Lil' Kim Featuring Sisqo,75,75,3,2000-12-09
78,Don't Tell Me,Madonna,,78,1,2000-12-09
79,Pop Ya Collar,Usher,62,60,6,2000-12-09
80,Bounce With Me,Lil Bow Wow Featuring Xscape,69,20,17,2000-12-09
81,Can't Fight The Moonlight,LeAnn Rimes,79,71,14,2000-12-09
82,It's Over Now,112,,82,1,2000-12-09
83,Straight Up,Chante Moore,83,83,7,2000-12-09
84,It's My Life,Bon Jovi,61,33,18,2000-12-09
85,That's The Kind Of Mood I'm In,Patty Loveless,72,71,13,2000-12-09
86,One Woman Man,Dave Hollister,,86,1,2000-12-09
87,My Baby You,Marc Anthony,74,70,13,2000-12-09
88,Oklahoma,Billy Gilman,90,88,5,2000-12-09
89,You Won't Be Lonely Now,Billy Ray Cyrus,80,80,12,2000-12-09
90,Just Be A Man About It,Toni Braxton,89,32,20,2000-12-09
91,Do You,Funkmaster Flex Featuring DMX,91,91,5,2000-12-09
92,Meanwhile Back At The Ranch,The Clark Family Experience,81,81,4,2000-12-09
93,South Side,Moby Featuring Gwen Stefani,94,93,2,2000-12-09
94,Kiss This,Aaron Tippin,78,42,16,2000-12-09
95,What Means The World To You,Cam'ron,87,83,9,2000-12-09
96,Bad Boyz,Shyne Featuring Barrington Levy,88,57,14,2000-12-09
97,That Other Woman,Changing Faces,85,64,11,2000-12-09
98,Spanish Guitar,Toni Braxton,98,98,2,2000-12-09
99,The Light,Common,93,44,19,2000-12-09
100,Where I Wanna Be,Damizza Presents Shade Sheist Featuring Nate Dogg & Kurupt,99,95,5,2000-12-09
1,Independent Women Part I,Destiny's Child,1,1,11,2000-12-02
2,Case Of The Ex (Whatcha Gonna Do),Mya,7,2,16,2000-12-02
3,With Arms Wide Open,Creed,2,1,30,2000-12-02
4,Kryptonite,3 Doors Down,3,3,35,2000-12-02
5,This I Promise You,'N Sync,6,5,10,2000-12-02
6,Most Girls,P!nk,4,4,17,2000-12-02
7,Gotta Tell You,Samantha Mumba,5,5,13,2000-12-02
8,The Way You Love Me,Faith Hill,9,8,31,2000-12-02
9,Shape Of My Heart,Backstreet Boys,10,9,8,2000-12-02
10,It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent",16,10,5,2000-12-02
11,Music,Madonna,8,1,17,2000-12-02
12,She Bangs,Ricky Martin,13,12,9,2000-12-02
13,Dance With Me,Debelah Morgan,14,13,19,2000-12-02
14,Between Me And You,Ja Rule Featuring Christina Milian,11,11,12,2000-12-02
15,Pinch Me,Barenaked Ladies,15,15,13,2000-12-02
16,E.I.,Nelly,17,16,9,2000-12-02
17,I Wish,R. Kelly,20,17,10,2000-12-02
18,He Loves U Not,Dream,18,18,10,2000-12-02
19,I Just Wanna Love U (Give It 2 Me),JAY-Z,23,19,6,2000-12-02
20,If You're Gone,matchbox twenty,21,20,7,2000-12-02
21,Ms. Jackson,OutKast,27,21,4,2000-12-02
22,Come On Over Baby (All I Want Is You),Christina Aguilera,12,1,18,2000-12-02
23,No More,Ruff Endz,22,5,23,2000-12-02
24,Shake Ya Ass,Mystikal,19,13,17,2000-12-02
25,What's Your Fantasy,Ludacris Featuring Shawnna,30,25,10,2000-12-02
26,Don't Think I'm Not,Kandi,31,24,18,2000-12-02
27,Best Of Intentions,Travis Tritt,28,27,16,2000-12-02
28,Bent,matchbox twenty,29,1,32,2000-12-02
29,Bag Lady,Erykah Badu,26,6,16,2000-12-02
30,"Jumpin', Jumpin'",Destiny's Child,24,3,30,2000-12-02
31,Incomplete,Sisqo,25,1,24,2000-12-02
32,You're A God,Vertical Horizon,32,23,15,2000-12-02
33,Crazy For This Girl,Evan And Jaron,37,33,5,2000-12-02
34,We Danced,Brad Paisley,39,34,8,2000-12-02
35,Just Another Day In Paradise,Phil Vassar,36,35,10,2000-12-02
36,My Next Thirty Years,Tim McGraw,40,36,7,2000-12-02
37,(Hot S**t) Country Grammar,Nelly,33,7,32,2000-12-02
38,Faded,SoulDecision Featuring Thrust,34,22,22,2000-12-02
